央视频道[1],#genre#
辽宁卫视,http://204.12.221.218:8181/3m1080p/lnws.m3u8
山东卫视,http://204.12.221.218:8181/3m1080p/sdws.m3u8
青海卫视,http://204.12.221.218:8181/3m1080p/qhws.m3u8
新疆卫视,http://204.12.221.218:8181/3m1080p/xjws.m3u8
西藏卫视,http://204.12.221.218:8181/3m1080p/xzws.m3u8
海南卫视,http://204.12.221.218:8181/3m1080p/lyws.m3u8
三沙卫视,http://204.12.221.218:8181/3m1080p/ssws.m3u8
深圳卫视,http://204.12.221.218:8181/3m1080p/szws.m3u8
天津卫视,http://204.12.221.218:8181/3m1080p/tjws.m3u8
云南卫视,http://204.12.221.218:8181/3m1080p/ynws.m3u8
兵团卫视,http://204.12.221.218:8181/3m1080p/btws.m3u8
宁夏卫视,http://204.12.221.218:8181/3m1080p/nxws.m3u8
内蒙古卫视,http://204.12.221.218:8181/3m1080p/nmgws.m3u8
延边卫视,http://204.12.221.218:8181/3m1080p/ybws.m3u8
农林卫视,http://204.12.221.218:8181/3m1080p/snnl.m3u8



央视频道[3],#genre#

CCTV1,http://42.240.145.105:2003/zhao.php?id=CCTV1
CCTV2,http://42.240.145.105:2003/zhao.php?id=CCTV2
CCTV3,http://42.240.145.105:2003/zhao.php?id=CCTV3
CCTV4,http://42.240.145.105:2003/zhao.php?id=CCTV4
CCTV5,http://42.240.145.105:2003/zhao.php?id=CCTV5
CCTV5+,http://42.240.145.105:2003/zhao.php?id=CCTV5p
CCTV6,http://42.240.145.105:2003/zhao.php?id=CCTV6
CCTV7,http://42.240.145.105:2003/zhao.php?id=CCTV7
CCTV8,http://42.240.145.105:2003/zhao.php?id=CCTV8
CCTV9,http://42.240.145.105:2003/zhao.php?id=CCTV9
CCTV10,http://42.240.145.105:2003/zhao.php?id=CCTV10
CCTV11,http://42.240.145.105:2003/zhao.php?id=CCTV11
CCTV12,http://42.240.145.105:2003/zhao.php?id=CCTV12
CCTV13,http://42.240.145.105:2003/zhao.php?id=CCTV13
CCTV14,http://42.240.145.105:2003/zhao.php?id=CCTV14
CCTV15,http://42.240.145.105:2003/zhao.php?id=CCTV15
CCTV16,http://42.240.145.105:2003/zhao.php?id=CCTV16
CCTV17,http://42.240.145.105:2003/zhao.php?id=CCTV17



卫视频道[3],#genre#

北京卫视,http://42.240.145.105:2003/zhao.php?id=北京卫视
东方卫视,http://42.240.145.105:2003/zhao.php?id=东方卫视
湖南卫视,http://42.240.145.105:2003/zhao.php?id=湖南卫视
浙江卫视,http://42.240.145.105:2003/zhao.php?id=浙江卫视
江苏卫视,http://42.240.145.105:2003/zhao.php?id=江苏卫视
广东卫视,http://42.240.145.105:2003/zhao.php?id=广东卫视
山东卫视,http://42.240.145.105:2003/zhao.php?id=山东卫视
辽宁卫视,http://42.240.145.105:2003/zhao.php?id=辽宁卫视
湖北卫视,http://42.240.145.105:2003/zhao.php?id=湖北卫视
河北卫视,http://42.240.145.105:2003/zhao.php?id=河北卫视
河南卫视,http://42.240.145.105:2003/zhao.php?id=河南卫视
深圳卫视,http://42.240.145.105:2003/zhao.php?id=深圳卫视
天津卫视,http://42.240.145.105:2003/zhao.php?id=天津卫视
重庆卫视,http://42.240.145.105:2003/zhao.php?id=重庆卫视
安徽卫视,http://42.240.145.105:2003/zhao.php?id=安徽卫视
东南卫视,http://42.240.145.105:2003/zhao.php?id=东南卫视
山西卫视,http://42.240.145.105:2003/zhao.php?id=山西卫视
陕西卫视,http://42.240.145.105:2003/zhao.php?id=陕西卫视
四川卫视,http://42.240.145.105:2003/zhao.php?id=四川卫视
黑龙江卫视,http://42.240.145.105:2003/zhao.php?id=黑龙江卫视
吉林卫视,http://42.240.145.105:2003/zhao.php?id=吉林卫视
云南卫视,http://42.240.145.105:2003/zhao.php?id=云南卫视
贵州卫视,http://42.240.145.105:2003/zhao.php?id=贵州卫视
广西卫视,http://42.240.145.105:2003/zhao.php?id=广西卫视
江西卫视,http://42.240.145.105:2003/zhao.php?id=江西卫视
海南卫视,http://42.240.145.105:2003/zhao.php?id=海南卫视
甘肃卫视,http://42.240.145.105:2003/zhao.php?id=甘肃卫视
青海卫视,http://42.240.145.105:2003/zhao.php?id=青海卫视
